Date Reported,Case Number,Classification,Description,Status,Date Occurred,Time Data,Address,Building
09/04/2019, 2019-05664,RETAIL THEFT, THEFT UNDER $50 INC ATTEMPTS RETAIL THEFT, Active,09/04/2019, 6:11 - 09/04/2019 6:34,4201 WALNUT ST,7-11 (WALNUT ST)
09/04/2019, 2019-05665, DISORDERLY CONDUCT,DISORDERLY CONDUCT ARREST, Arrest,10/17/2020,23:00-10/18/2020, 240 S 40TH ST, SCHATTNER BUILDLING
09/04/2019, 2019-05666,THEFT FROM BUILDING,THEFT UNDER $50 INC ATTEMPTS BUILDINGS,Active,08/30/2019, 17:00 - 09/04/2019  7:50,3400 SPRUCE ST,HOSPITAL OF THE UNIV. OF PENN
09/05/2019, 2019-05693,ROBBERY,ROBBERY HIGHWAY NO WEAPON, Active,09/05/2019, 2:12 - 09/05/2019 2:43,UNIT N 38TH ST,UNIT BLOCK N. 38th St
09/05/2019, 2019-05710,THEFT OTHER,THEFT UNDER $50 INC ATTEMPTS ALL OTHERS, Inactive,09/05/2019, 13:30 - 09/05/2019  18:30, 4105 PINE, PINE
09/06/2019, 2019-05731,ASSAULT,OTHER ASSAULTS ASSAULT,Inactive,10/17/2020,23:00-10/18/2020,3220 SOUTH ST, PENN MUSEUM LOT
09/06/2019, 2019-05735,FRAUD,EMBEZZLEMENT EMBEZZLEMENT, Active,10/17/2020,23:00-10/18/2020, 3925 WALNUT ST,JIMMY JOHNS
09/07/2019, 2019-05754,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Arrest,09/06/2019,11:00-09/07/2019,231 S 34TH ST, NEW CHEMISTRY
09/07/2019, 2019-05758,FRAUD,FRAUD OTHER FRAUDS,Inactive,09/07/2019, 15:27 - 09/07/2019  15:30, 2930 CHESTNUT ST,EVO BUILDING
09/07/2019, 2019-05768,ASSAULT,OTHER ASSAULTS ASSAULT,Inactive,09/07/2019, 20:48 - 09/07/2019  21:15, 1 S 36TH ST, UNIT BLOCK OF S. 36TH
09/08/2019, 2019-05805,RETAIL THEFT, THEFT UNDER $50 INC ATTEMPTS RETAIL THEFT, Arrest,09/06/2019,11:00-09/07/2019,4201 WALNUT ST,7-11 (WALNUT ST)
09/08/2019, 2019-05806,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $200 AND OVER ALL OTHERS, Inactive,09/05/2019, 15:00 - 09/06/2019  20:00, 3934 SPRUCE ST,PHI KAPPA PSI
09/08/2019, 2019-05811, ASSAULT/DATING,DOM ASSAULT/DATING VIOLENCE, Active,09/08/2019,22:10 - 09/08/2019 22:27,PRESBYTERIAN HOSPITAL,
09/09/2019, 2019-05833,FRAUD,FRAUD OTHER FRAUDS,Inactive,09/09/2019, 13:43 - 09/09/2019  14:18, 3400 CIVIC CENTER BLVD,PERELMAN CENTER FOR ADVANC
09/09/2019, 2019-05838, THEFT FROM VEHICLE,"THEFT FROM VEHICLE NON ACCESSORY, $50 TO $199.99",Inactive,09/09/2019, 15:00 - 09/09/2019  16:20, 4000 PINE ST,4000 BLOCK OF PINE
09/09/2019, 2019-05844, AUTO THEFT,AUTO THEFT STOLEN PASSENGER VEHICLE, Active,09/06/2019,11:00-09/07/2019, 3800 POWELTON AVE, 3800 BLOCK OF POWELTON
09/10/2019, 2019-05847,FRAUD,FRAUD OTHER FRAUDS, Active,09/06/2019,0:00-09/09/2019,51 N 39TH ST,PRESBYTERIAN HOSPITAL
09/10/2019, 2019-05848,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,09/09/2019, 20:00 - 09/10/2019  9:00,202 S 36TH ST, ADDAMS HALL
09/11/2019, 2019-05880,THEFT OTHER,THEFT UNDER $50 INC ATTEMPTS ALL OTHERS,Arrest,09/11/2019, 18:14 - 09/11/2019  18:15, 305 41,41
09/11/2019, 2019-05881,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,09/11/2019, 17:30 - 09/11/2019  17:33, 3850 SPRUCE ST,VETERINARY HOSPITAL
09/12/2019, 2019-05888,ASSAULT DOMESTIC, ASSAULT-DOMESTIC, Arrest,09/12/2019,0:01-09/12/2019,4247 LOCUST ST,FAIRFAX APARTMENTS
09/12/2019, 2019-05894,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,09/11/2019, 15:10 - 09/12/2019  8:00,3800 SPRUCE ST,VETERINARY SCHOOL
